player,rounds_played,vlr_rating,acs,kd,kast,adr,kpr,apr,dpr,fkpr,fdpr,hs_percent,cl_percent,year
FengFTE,388,1.43,244.1,1.32,0.82,184.7,0.87,0.19,0.66,0.1,0.05,0.25,0.4,2023
NinebodyTYL,441,1.37,248.6,1.25,0.74,179.9,0.9,0.17,0.72,0.19,0.15,0.29,0.18,2023
SpringWOL,287,1.29,285.5,1.33,0.8,177.0,0.98,0.18,0.74,0.2,0.15,0.31,0.05,2023
pl1xxWOL,342,1.29,227.0,1.19,0.78,154.9,0.78,0.31,0.66,0.07,0.03,0.19,0.03,2023
aspasMIBR,1778,1.26,249.8,1.37,0.75,164.4,0.89,0.18,0.65,0.18,0.11,0.29,0.15,2024
SWERLNOVA,284,1.26,271.5,1.32,0.75,178.6,0.96,0.19,0.73,0.23,0.13,0.27,0.3,2023
LeoFNC,1357,1.25,206.3,1.37,0.82,133.1,0.74,0.41,0.54,0.04,0.03,0.21,0.2,2023
MapleCCG,342,1.25,268.0,1.25,0.73,182.7,0.92,0.21,0.74,0.26,0.19,0.22,0.14,2023
aspasMIBR,414,1.23,240.6,1.36,0.77,158.3,0.86,0.13,0.63,0.18,0.12,0.22,0.1,2025
coldfishTYL,296,1.23,244.2,1.28,0.76,157.0,0.86,0.27,0.67,0.09,0.06,0.17,0.12,2023
CHICHOOEDG,730,1.23,218.6,1.21,0.71,158.1,0.8,0.27,0.66,0.08,0.07,0.28,0.22,2025
AlfajerFNC,1252,1.22,224.1,1.4,0.76,148.8,0.83,0.18,0.59,0.11,0.07,0.27,0.15,2023
KeikoTL,648,1.22,230.4,1.28,0.78,151.8,0.85,0.31,0.67,0.1,0.07,0.38,0.14,2025
madaNRG,242,1.21,262.1,1.26,0.73,166.1,0.92,0.21,0.73,0.2,0.21,0.22,0.21,2025
trentG2,624,1.21,212.7,1.25,0.75,144.3,0.76,0.28,0.6,0.09,0.08,0.26,0.29,2025
sphiry4AM,358,1.2,204.5,1.11,0.74,139.1,0.74,0.27,0.66,0.07,0.06,0.34,0.16,2023
LeoFNC,859,1.19,204.6,1.27,0.81,135.5,0.74,0.36,0.58,0.04,0.03,0.26,0.09,2024
aspasMIBR,1618,1.18,238.4,1.3,0.75,153.4,0.87,0.17,0.67,0.17,0.11,0.25,0.17,2023
ShyyKRÜ,300,1.18,206.9,1.21,0.75,138.5,0.76,0.23,0.63,0.08,0.04,0.27,0.25,2025
Flex1nDRG,388,1.18,198.2,1.12,0.79,115.5,0.72,0.46,0.64,0.07,0.05,0.28,0.3,2023
SayfVIT,1040,1.18,243.1,1.24,0.73,155.5,0.84,0.23,0.68,0.17,0.14,0.23,0.16,2023
kiNggLEV,987,1.18,222.2,1.22,0.76,146.3,0.77,0.38,0.63,0.1,0.09,0.29,0.18,2023
KushyRRQ,331,1.17,219.1,1.17,0.75,141.1,0.75,0.33,0.64,0.09,0.07,0.36,0.17,2025
JemkinRRQ,331,1.17,250.1,1.24,0.74,159.5,0.88,0.23,0.71,0.23,0.16,0.27,0.08,2025
IchiroTOPG,325,1.17,197.5,1.04,0.77,137.0,0.68,0.45,0.66,0.07,0.07,0.28,0.32,2023
B3arBLG,287,1.17,178.2,1.08,0.85,117.8,0.7,0.56,0.64,0.02,0.04,0.33,0.09,2023
N4RRATESEN,1205,1.17,235.7,1.18,0.76,155.2,0.82,0.33,0.69,0.11,0.08,0.26,0.18,2024
diseasedSNS,296,1.17,201.0,1.12,0.78,140.2,0.72,0.33,0.65,0.07,0.06,0.24,0.14,2023
primmieTLN,272,1.17,236.4,1.28,0.76,153.0,0.86,0.18,0.67,0.07,0.06,0.35,0.16,2025
kaajakFNC,215,1.16,245.0,1.3,0.69,157.9,0.89,0.21,0.68,0.15,0.16,0.37,0.23,2025
LuoK1ngTE,441,1.16,191.4,1.03,0.74,134.4,0.7,0.38,0.68,0.06,0.08,0.27,0.25,2023
MaKoDRX,1521,1.16,211.3,1.11,0.76,136.4,0.71,0.51,0.64,0.08,0.07,0.26,0.18,2023
s0mNRG,242,1.16,226.5,1.15,0.81,142.1,0.79,0.49,0.68,0.1,0.07,0.25,0.07,2025
trexxVIT,1055,1.16,219.2,1.11,0.76,146.0,0.75,0.43,0.67,0.09,0.07,0.2,0.14,2024
MeiyDFM,224,1.16,232.6,1.19,0.71,153.5,0.85,0.15,0.72,0.16,0.11,0.31,0.24,2025
trexxVIT,712,1.16,234.8,1.14,0.74,154.0,0.8,0.33,0.7,0.11,0.12,0.18,0.16,2023
primmieTLN,203,1.16,249.9,1.15,0.71,165.0,0.9,0.23,0.78,0.13,0.1,0.41,0.2,2024
MonyetRRQ,562,1.16,219.1,1.13,0.75,142.4,0.78,0.4,0.69,0.13,0.1,0.27,0.24,2023
ChaosME,425,1.16,236.8,1.1,0.74,162.4,0.82,0.19,0.75,0.19,0.17,0.25,0.25,2023
LessVIT,1618,1.16,228.8,1.24,0.74,152.3,0.81,0.22,0.65,0.1,0.08,0.26,0.18,2023
dgzinLOUD,258,1.15,235.1,1.27,0.7,152.1,0.84,0.14,0.66,0.19,0.12,0.27,0.1,2025
KaronGEN,357,1.15,204.1,1.17,0.76,133.3,0.72,0.45,0.61,0.05,0.07,0.31,0.15,2025
invyTS,897,1.15,206.3,1.11,0.76,137.8,0.75,0.46,0.67,0.07,0.05,0.3,0.1,2024
Kr1stalGEXP,208,1.15,208.1,1.16,0.74,141.9,0.71,0.28,0.62,0.1,0.09,0.25,0.21,2025
DerkeVIT,474,1.15,254.8,1.19,0.7,165.8,0.89,0.18,0.75,0.23,0.2,0.26,0.17,2025
somethingPRX,849,1.15,222.4,1.25,0.76,140.6,0.81,0.21,0.65,0.18,0.12,0.23,0.19,2023
Demon1LEV,1502,1.15,226.0,1.25,0.72,152.2,0.83,0.17,0.67,0.15,0.1,0.36,0.14,2023
ChronicleFNC,1591,1.15,210.4,1.15,0.75,142.0,0.73,0.38,0.63,0.1,0.07,0.24,0.2,2024
MelserKRÜ,300,1.14,205.0,1.21,0.78,124.4,0.74,0.37,0.61,0.1,0.07,0.3,0.23,2025
ShaoNAVI,1311,1.14,194.0,1.17,0.76,129.0,0.7,0.32,0.6,0.07,0.05,0.35,0.21,2023
signedJJH,284,1.14,184.1,1.01,0.78,128.0,0.65,0.46,0.64,0.05,0.04,0.22,0.13,2023
YOUXLG,388,1.14,204.4,1.06,0.77,143.5,0.72,0.33,0.68,0.11,0.04,0.21,0.25,2023
LessVIT,1081,1.14,205.3,1.18,0.73,141.5,0.74,0.25,0.63,0.08,0.07,0.3,0.08,2024
Cryocells100T,1176,1.13,228.7,1.2,0.73,147.5,0.83,0.23,0.69,0.14,0.1,0.25,0.19,2024
Cryocells100T,224,1.13,224.4,1.16,0.79,149.5,0.79,0.27,0.68,0.13,0.07,0.29,0.14,2025
whzyToe,585,1.13,250.5,1.14,0.71,160.1,0.86,0.21,0.76,0.2,0.16,0.19,0.04,2023
keznitKRÜ,873,1.13,248.1,1.16,0.71,165.2,0.85,0.22,0.74,0.18,0.16,0.22,0.18,2023
SayfVIT,1293,1.13,225.4,1.19,0.7,146.6,0.81,0.22,0.68,0.13,0.13,0.28,0.13,2024
eeiu100T,1176,1.13,193.4,1.14,0.77,130.6,0.7,0.31,0.61,0.05,0.04,0.31,0.13,2024
JemkinRRQ,708,1.13,228.5,1.22,0.75,147.1,0.83,0.15,0.68,0.13,0.14,0.31,0.19,2024
AlfajerFNC,215,1.12,233.5,1.15,0.71,153.4,0.84,0.22,0.73,0.18,0.08,0.29,0.13,2025
leafG2,624,1.12,218.5,1.17,0.73,145.0,0.79,0.23,0.67,0.12,0.09,0.26,0.16,2025
