player+team,rounds_played,vlr_rating,acs,kd,kast,adr,kpr,apr,dpr,fkpr,fdpr,hs_percent,cl_percent,year
NezhaANT.GC,274,1.65,328.6,1.96,0.8,185.0,1.19,0.35,0.61,0.19,0.05,0.55,0.3,2025
BobFLY,566,1.6,330.4,1.94,0.8,214.2,1.17,0.24,0.6,0.19,0.1,0.25,0.25,2025
winterRZN,412,1.55,331.0,1.78,0.79,208.6,1.18,0.28,0.66,0.17,0.09,0.32,0.15,2025
florescentAPK,1736,1.54,319.9,1.88,0.81,201.9,1.13,0.25,0.6,0.23,0.1,0.28,0.2,2024
LyépaOPY.F,368,1.53,291.3,1.71,0.8,188.2,1.08,0.35,0.63,0.14,0.05,0.3,0.2,2024
SamMVR.GC,259,1.53,295.5,1.84,0.8,189.1,1.07,0.24,0.58,0.17,0.12,0.33,0.29,2024
keilaFKS.S,275,1.52,342.9,1.6,0.72,218.5,1.17,0.2,0.73,0.19,0.15,0.3,0.25,2025
florescentAPK,1167,1.52,315.2,1.82,0.79,201.2,1.13,0.21,0.62,0.25,0.13,0.31,0.28,2023
gobera2G,324,1.5,312.3,1.73,0.73,190.7,1.1,0.13,0.63,0.29,0.12,0.23,0.27,2023
majusiaNOVO.NI,331,1.49,302.6,1.9,0.8,156.0,1.08,0.16,0.57,0.27,0.11,0.3,0.37,2025
somethingPRX,739,1.47,305.0,1.65,0.78,194.8,1.09,0.23,0.66,0.21,0.12,0.23,0.21,2023
dorothyMIR.GC,645,1.45,303.1,1.66,0.79,192.2,1.07,0.19,0.64,0.22,0.1,0.27,0.24,2024
TastyyAKV.GC,274,1.45,258.3,1.9,0.81,173.2,0.99,0.32,0.52,0.12,0.08,0.33,0.33,2025
mikeEPLUG,314,1.45,296.1,1.63,0.79,186.8,1.03,0.28,0.63,0.24,0.17,0.3,0.15,2023
keencEG.GC,1187,1.44,308.8,1.66,0.79,188.5,1.07,0.2,0.65,0.23,0.1,0.2,0.2,2023
StarBoundWADA,568,1.44,258.6,1.87,0.79,163.1,0.96,0.16,0.51,0.18,0.08,0.13,0.18,2025
JinxDiso,335,1.43,264.4,1.56,0.77,167.9,0.99,0.34,0.64,0.09,0.03,0.19,0.17,2024
MikuKTN.GC,1161,1.43,325.8,1.6,0.77,196.3,1.12,0.25,0.7,0.31,0.16,0.18,0.19,2024
FengFTE,388,1.43,244.1,1.32,0.82,184.7,0.87,0.19,0.66,0.1,0.05,0.25,0.4,2023
cliché,233,1.43,296.0,1.52,0.74,196.0,1.06,0.24,0.7,0.22,0.15,0.25,0.17,2023
yxqmeSISU,290,1.43,319.5,1.54,0.78,200.7,1.09,0.19,0.71,0.23,0.11,0.26,0.1,2025
