player+team,rounds_played,vlr_rating,acs,kd,kast,adr,kpr,apr,dpr,fkpr,fdpr,hs_percent,cl_percent,group,year
Mate,256,1.56,271.5,1.93,0.86,173.0,0.95,0.41,0.49,0.08,0.04,0.18,0.4,gc,2025
florescentAPK,1736,1.54,319.9,1.88,0.81,201.9,1.13,0.25,0.6,0.23,0.1,0.28,0.2,gc,2024
SamMVR.GC,259,1.53,295.5,1.84,0.8,189.1,1.07,0.24,0.58,0.17,0.12,0.33,0.29,gc,2024
LyépaOPY.F,368,1.53,291.3,1.71,0.8,188.2,1.08,0.35,0.63,0.14,0.05,0.3,0.2,gc,2024
keilaFKS.S,275,1.52,342.9,1.6,0.72,218.5,1.17,0.2,0.73,0.19,0.15,0.3,0.25,gc,2025
florescentAPK,1167,1.52,315.2,1.82,0.79,201.2,1.13,0.21,0.62,0.25,0.13,0.31,0.28,gc,2023
NezhaANT.GC,406,1.52,313.5,1.72,0.78,180.7,1.12,0.34,0.65,0.19,0.07,0.52,0.24,gc,2025
winterRZN,431,1.51,322.5,1.71,0.78,203.8,1.15,0.28,0.67,0.17,0.09,0.32,0.14,gc,2025
gobera2G,324,1.5,312.3,1.73,0.73,190.7,1.1,0.13,0.63,0.29,0.12,0.23,0.27,challengers,2023
TastyyAKV.GC,433,1.49,271.5,1.88,0.8,180.2,1.03,0.29,0.55,0.12,0.07,0.31,0.33,gc,2025
BobFLY,877,1.48,309.8,1.72,0.78,199.9,1.09,0.22,0.63,0.19,0.11,0.26,0.23,gc,2025
somethingPRX,739,1.47,305.0,1.65,0.78,194.8,1.09,0.23,0.66,0.21,0.12,0.23,0.21,challengers,2023
MikoDFM.GC,645,1.45,303.1,1.66,0.79,192.2,1.07,0.19,0.64,0.22,0.1,0.27,0.24,gc,2024
mikeEPLUG,314,1.45,296.1,1.63,0.79,186.8,1.03,0.28,0.63,0.24,0.17,0.3,0.15,challengers,2023
StarBoundWADA,790,1.45,263.5,1.86,0.8,157.0,0.98,0.16,0.53,0.19,0.07,0.14,0.14,gc,2025
keencEG.GC,1187,1.44,308.8,1.66,0.79,188.5,1.07,0.2,0.65,0.23,0.1,0.2,0.2,gc,2023
MikuKTN.GC,1161,1.43,325.8,1.6,0.77,196.3,1.12,0.25,0.7,0.31,0.16,0.18,0.19,gc,2024
yxqmeSISU,290,1.43,319.5,1.54,0.78,200.7,1.09,0.19,0.71,0.23,0.11,0.26,0.1,gc,2025
cliché,233,1.43,296.0,1.52,0.74,196.0,1.06,0.24,0.7,0.22,0.15,0.25,0.17,gc,2023
JinxDiso,335,1.43,264.4,1.56,0.77,167.9,0.99,0.34,0.64,0.09,0.03,0.19,0.17,gc,2024
LEWKING,242,1.43,263.2,1.94,0.83,165.0,1.0,0.21,0.51,0.22,0.1,0.26,0.22,challengers,2025
FengFTE,388,1.43,244.1,1.32,0.82,184.7,0.87,0.19,0.66,0.1,0.05,0.25,0.4,vct,2023
azysRNTX,346,1.42,299.8,1.69,0.78,190.5,1.09,0.15,0.64,0.22,0.14,0.29,0.19,challengers,2025
elfieMKS,366,1.4,307.4,1.44,0.74,190.9,1.06,0.2,0.73,0.25,0.15,0.27,0.27,gc,2023
starFKS.S,305,1.4,283.4,1.53,0.77,178.1,1.03,0.4,0.67,0.16,0.1,0.31,0.29,gc,2023
madvFLCV,371,1.4,230.6,1.68,0.84,153.1,0.86,0.33,0.51,0.07,0.04,0.35,0.3,gc,2025
murzaLNF,276,1.39,276.5,1.59,0.8,161.0,1.0,0.29,0.63,0.16,0.09,0.24,0.36,challengers,2025
VolcaNzZz,204,1.39,256.3,1.69,0.77,162.8,0.98,0.15,0.58,0.2,0.07,0.21,0.24,challengers,2023
YamzzIFL.GC,569,1.39,256.2,1.6,0.75,170.0,0.96,0.16,0.6,0.12,0.07,0.31,0.24,gc,2023
zorientalTena,422,1.38,313.5,1.41,0.73,198.3,1.1,0.16,0.78,0.2,0.13,0.36,0.14,gc,2025
SezSoci,343,1.38,312.2,1.4,0.71,205.0,1.08,0.18,0.77,0.23,0.17,0.32,0.12,gc,2024
aNNjaNSR.IN,727,1.38,303.4,1.5,0.72,183.6,1.09,0.17,0.72,0.2,0.14,0.34,0.14,gc,2025
Panda,206,1.38,284.5,1.58,0.73,180.8,1.01,0.23,0.64,0.17,0.08,0.38,0.0,challengers,2023
purp0GX,253,1.38,264.7,1.66,0.83,170.3,0.96,0.25,0.58,0.11,0.07,0.39,0.11,challengers,2024
dodonutSRG,279,1.38,257.6,1.72,0.78,167.1,0.94,0.18,0.54,0.21,0.14,0.29,0.27,gc,2025
blurryX1E,340,1.37,304.2,1.49,0.77,193.1,1.04,0.29,0.69,0.25,0.18,0.21,0.3,gc,2024
ASA,282,1.37,302.8,1.45,0.76,200.6,1.02,0.18,0.71,0.26,0.12,0.28,0.29,gc,2024
c4tnipzCX,548,1.37,273.4,1.5,0.78,174.8,0.95,0.2,0.64,0.18,0.1,0.21,0.2,gc,2023
332NTZ,509,1.37,270.0,1.71,0.78,171.0,0.98,0.16,0.58,0.15,0.07,0.26,0.19,gc,2025
strawberryVU.I,368,1.37,266.8,1.62,0.79,166.5,0.97,0.18,0.6,0.09,0.05,0.23,0.23,gc,2024
Ikie,263,1.37,263.6,1.42,0.75,173.0,0.96,0.19,0.67,0.13,0.08,0.25,0.2,gc,2024
suzuFL.GC,304,1.37,259.1,1.56,0.77,168.5,0.92,0.3,0.59,0.15,0.11,0.29,0.44,gc,2025
AlexyFLCV,1479,1.37,251.8,1.6,0.82,166.3,0.91,0.32,0.57,0.15,0.07,0.28,0.29,gc,2023
NinebodyTYL,441,1.37,248.6,1.25,0.74,179.9,0.9,0.17,0.72,0.19,0.15,0.29,0.18,vct,2023
slowlyTYL,370,1.37,244.9,1.29,0.79,164.8,0.87,0.33,0.68,0.08,0.05,0.3,0.0,vct,2025
srNMIBR.GC,832,1.36,321.2,1.51,0.75,199.8,1.1,0.2,0.72,0.31,0.2,0.26,0.16,gc,2023
dodsKRÜ.B,766,1.36,311.3,1.46,0.72,201.1,1.1,0.17,0.75,0.27,0.17,0.33,0.22,gc,2023
canezerraNV,549,1.36,304.1,1.51,0.78,191.4,1.07,0.25,0.71,0.24,0.12,0.3,0.21,challengers,2025
LAVADEMON07,258,1.36,294.3,1.38,0.75,194.2,1.06,0.21,0.77,0.18,0.12,0.23,0.14,gc,2025
83Y0nd1357YFP.X,444,1.36,286.2,1.42,0.73,184.1,1.0,0.21,0.71,0.2,0.13,0.24,0.25,gc,2023
strawberryVU.I,227,1.36,276.5,1.38,0.71,176.8,0.98,0.18,0.71,0.17,0.13,0.18,0.25,gc,2023
ShoT_UPL11,334,1.36,261.8,1.52,0.81,168.8,0.94,0.35,0.62,0.08,0.05,0.23,0.22,challengers,2024
rachellExal,282,1.36,258.2,1.42,0.78,164.2,0.9,0.59,0.64,0.08,0.07,0.17,0.14,gc,2023
CoreIluZ,213,1.36,250.6,1.46,0.82,167.5,0.92,0.46,0.63,0.08,0.04,0.3,0.19,challengers,2025
iryaSL9,213,1.36,241.8,1.5,0.85,161.6,0.87,0.43,0.58,0.12,0.07,0.31,0.19,gc,2025
srNMIBR.GC,1563,1.35,302.1,1.48,0.77,193.2,1.04,0.22,0.7,0.29,0.17,0.24,0.22,gc,2024
jujuAT,207,1.35,297.9,1.48,0.73,192.1,1.07,0.13,0.72,0.25,0.16,0.28,0.11,gc,2023
muffinloopDXE.GC,282,1.35,270.9,1.42,0.76,177.0,0.97,0.33,0.68,0.16,0.09,0.32,0.13,gc,2024
conszMGLZ,244,1.35,256.8,1.4,0.78,173.4,0.93,0.24,0.66,0.15,0.11,0.3,0.25,challengers,2024
VaniaG2.G,1723,1.35,253.2,1.46,0.82,158.8,0.91,0.49,0.62,0.11,0.06,0.31,0.27,gc,2023
mmonchKRÜ.B,1333,1.35,245.8,1.6,0.8,158.7,0.9,0.25,0.56,0.1,0.05,0.33,0.25,gc,2024
wraithKowa,247,1.35,243.2,1.38,0.77,166.6,0.85,0.39,0.62,0.08,0.03,0.27,0.12,challengers,2023
sukiECA,200,1.35,222.6,1.59,0.82,144.9,0.89,0.2,0.56,0.04,0.02,0.21,0.16,gc,2023
dodsKRÜ.B,406,1.34,308.2,1.6,0.79,197.9,1.11,0.16,0.69,0.26,0.14,0.36,0.38,gc,2025
suzuFL.GC,761,1.34,298.6,1.53,0.76,188.2,1.03,0.22,0.67,0.26,0.16,0.24,0.28,gc,2023
MikoDFM.GC,206,1.34,297.7,1.51,0.8,172.2,1.03,0.19,0.68,0.17,0.13,0.25,0.13,gc,2025
LuwuciaNCL,226,1.34,293.3,1.43,0.79,182.9,1.02,0.27,0.71,0.23,0.15,0.28,0.21,gc,2023
Yeah,283,1.34,293.0,1.49,0.75,196.4,1.02,0.2,0.69,0.2,0.14,0.27,0.24,challengers,2023
tok1oUW.GC,1433,1.34,281.8,1.47,0.75,182.3,1.0,0.18,0.68,0.2,0.15,0.26,0.2,gc,2024
maky,424,1.34,275.9,1.42,0.74,188.2,0.96,0.19,0.67,0.11,0.1,0.25,0.14,gc,2023
babytzBOBA,439,1.34,274.6,1.52,0.77,172.6,0.97,0.27,0.64,0.14,0.09,0.28,0.26,gc,2025
beNca,250,1.34,261.3,1.45,0.74,161.0,0.95,0.14,0.66,0.22,0.11,0.28,0.14,challengers,2025
madsMDK,1191,1.34,260.0,1.38,0.78,171.9,0.93,0.31,0.68,0.12,0.06,0.21,0.18,gc,2023
AlexyFLCV,983,1.34,254.1,1.57,0.81,165.1,0.91,0.28,0.58,0.15,0.11,0.24,0.15,gc,2024
JapipsASND,391,1.34,245.5,1.54,0.81,158.7,0.92,0.34,0.59,0.06,0.05,0.31,0.16,gc,2024
Jade,1559,1.34,245.5,1.42,0.8,156.5,0.89,0.52,0.63,0.09,0.04,0.32,0.21,gc,2024
florescentAPK,339,1.33,296.4,1.45,0.76,183.5,1.04,0.15,0.71,0.26,0.16,0.28,0.12,challengers,2023
florescentAPK,433,1.33,290.0,1.42,0.73,188.1,1.0,0.21,0.71,0.19,0.13,0.26,0.14,challengers,2024
LoganQOR,263,1.33,279.5,1.45,0.74,175.7,0.95,0.19,0.65,0.22,0.16,0.21,0.1,challengers,2023
yanbry,753,1.33,278.4,1.38,0.76,178.7,0.99,0.21,0.71,0.19,0.12,0.49,0.22,gc,2024
MicrooLL,708,1.33,276.6,1.45,0.78,176.1,0.99,0.21,0.68,0.17,0.1,0.35,0.17,gc,2024
marteenKC,1086,1.33,275.1,1.46,0.78,176.7,0.98,0.25,0.67,0.18,0.1,0.25,0.17,challengers,2023
elfieMKS,886,1.33,268.3,1.36,0.75,174.2,0.95,0.27,0.69,0.15,0.1,0.27,0.21,gc,2024
Serixh,364,1.33,266.7,1.36,0.74,173.9,0.91,0.2,0.67,0.15,0.11,0.26,0.18,challengers,2025
onniEOTO,418,1.33,266.5,1.39,0.72,168.8,0.94,0.28,0.67,0.17,0.13,0.25,0.13,gc,2024
StarBoundWADA,1269,1.33,259.7,1.51,0.77,167.7,0.92,0.19,0.61,0.12,0.07,0.2,0.16,gc,2023
MinimiseKING,242,1.33,257.2,1.64,0.84,150.5,0.88,0.5,0.53,0.21,0.08,0.16,0.0,challengers,2025
LightningfastVLT,534,1.33,249.4,1.52,0.83,154.5,0.89,0.46,0.59,0.09,0.07,0.34,0.37,challengers,2025
BobFLY,741,1.33,239.9,1.49,0.81,158.8,0.84,0.38,0.57,0.1,0.06,0.26,0.21,gc,2023
none2G.GC,846,1.32,307.6,1.45,0.72,195.9,1.05,0.21,0.72,0.27,0.17,0.24,0.24,gc,2025
BuffalaPWR,261,1.32,301.0,1.36,0.75,107.1,1.01,0.3,0.74,0.23,0.17,0.23,0.11,gc,2025
MeaSOL.GC,248,1.32,296.7,1.35,0.7,186.9,1.04,0.15,0.77,0.23,0.15,0.33,0.04,gc,2024
huh,254,1.32,287.2,1.37,0.78,185.9,1.01,0.28,0.74,0.17,0.12,0.19,0.29,gc,2024
f4ngeerKCBS,217,1.32,282.6,1.41,0.77,175.3,1.01,0.15,0.71,0.25,0.1,0.3,0.13,challengers,2023
LizhiEDGS,231,1.32,282.1,1.48,0.76,177.1,0.98,0.23,0.66,0.24,0.14,0.25,0.08,gc,2023
ChloettwQYG,320,1.32,267.4,1.45,0.83,173.5,0.91,0.31,0.63,0.09,0.06,0.15,0.31,gc,2024
SayonaraVIT.RE,875,1.32,266.4,1.46,0.78,172.4,0.95,0.33,0.65,0.15,0.08,0.33,0.18,challengers,2024
yuchan,549,1.32,266.4,1.42,0.76,179.4,0.96,0.28,0.68,0.17,0.13,0.29,0.12,gc,2024
malibuNOOT,268,1.32,264.8,1.46,0.77,172.4,0.91,0.37,0.63,0.15,0.09,0.36,0.45,gc,2023
elfieMKS,264,1.32,261.5,1.41,0.81,162.4,0.89,0.35,0.63,0.12,0.07,0.23,0.23,gc,2025
sKizzoEsG,378,1.32,261.2,1.44,0.73,171.1,0.94,0.21,0.65,0.16,0.08,0.26,0.2,challengers,2023
edithYDZ.M,1032,1.32,261.0,1.53,0.76,165.1,0.92,0.2,0.6,0.2,0.12,0.28,0.29,gc,2024
nephhBLG,202,1.32,246.5,1.58,0.83,153.0,0.89,0.28,0.56,0.11,0.04,0.3,0.18,challengers,2024
